payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_27,request_10,full_payment,4272.4,1,2024-12-06,,0,4272.4
payment_option_28,request_10,installments,313.31,15,2024-12-13,30,427.25,4699.65
payment_option_29,request_11,full_payment,744,1,2025-05-03,,0,744
payment_option_30,request_11,installments,47.12,18,2025-05-17,31,104.16,848.16
payment_option_31,request_11,installments,133.92,6,2025-05-03,28,59.52,803.52
payment_option_32,request_11,installments,37.82,24,2025-05-06,30,163.68,907.68
payment_option_33,request_12,installments,838.55,3,2026-04-19,31,96.75,2515.65
payment_option_34,request_12,full_payment,2418.9,1,2026-04-05,,0,2418.9
payment_option_35,request_12,installments,135.92,21,2026-04-05,28,435.42,2854.32
payment_option_36,request_13,full_payment,1585.1,1,2024-03-07,,0,1585.1
payment_option_37,request_13,installments,116.24,15,2024-03-10,30,158.5,1743.6
payment_option_38,request_13,installments,80.58,24,2024-03-21,28,348.82,1933.92
payment_option_39,request_14,full_payment,404500,1,2025-08-04,,0,404500
payment_option_40,request_14,installments,25618.33,18,2025-08-11,31,56629.94,461129.94
payment_option_41,request_15,full_payment,34067000,1,2026-01-06,,0,34067000
payment_option_42,request_15,installments,1914240.95,21,2026-01-20,28,6132059.95,40199059.95
payment_option_43,request_15,installments,1731739.17,24,2026-01-09,31,7494740.08,41561740.08
payment_option_44,request_16,full_payment,87400,1,2024-06-03,,0,87400
payment_option_45,request_16,installments,6409.33,15,2024-06-03,30,8739.95,96139.95
payment_option_46,request_16,installments,15732,6,2024-06-06,31,6992,94392
payment_option_47,request_17,installments,970.53,3,2025-11-05,30,111.99,2911.59
payment_option_48,request_17,full_payment,2799.6,1,2025-11-05,,0,2799.6
payment_option_49,request_17,installments,177.31,18,2025-11-08,31,391.98,3191.58
payment_option_50,request_18,full_payment,1224,1,2026-07-07,,0,1224
payment_option_51,request_18,installments,68.78,21,2026-07-14,28,220.38,1444.38
payment_option_52,request_19,full_payment,301200,1,2024-09-04,,0,301200
payment_option_53,request_19,installments,22088,15,2024-09-18,30,30120,331320
payment_option_54,request_19,installments,15311,24,2024-09-07,28,66264,367464
payment_option_55,request_20,full_payment,87476000,1,2025-02-06,,0,87476000
payment_option_56,request_20,installments,5540146.67,18,2025-02-06,31,12246640.06,99722640.06
payment_option_57,request_21,full_payment,882,1,2026-04-03,,0,882
payment_option_58,request_21,installments,49.56,21,2026-04-06,28,158.76,1040.76
payment_option_59,request_21,installments,158.76,6,2026-04-10,30,70.56,952.56
payment_option_60,request_21,installments,44.84,24,2026-04-17,31,194.16,1076.16
payment_option_61,request_22,installments,541.22,3,2024-12-08,28,62.46,1623.66
payment_option_62,request_22,full_payment,1561.2,1,2024-12-05,,0,1561.2
payment_option_63,request_22,installments,114.49,15,2024-12-12,30,156.15,1717.35
payment_option_64,request_23,full_payment,158200,1,2025-05-07,,0,158200
payment_option_65,request_23,installments,10019.33,18,2025-05-21,31,22147.94,180347.94
payment_option_66,request_23,installments,8041.83,24,2025-05-10,30,34803.92,193003.92
payment_option_67,request_24,full_payment,58432,1,2026-01-04,,0,58432
payment_option_68,request_24,installments,3283.32,21,2026-01-04,28,10517.72,68949.72
payment_option_69,request_25,full_payment,52003000,1,2024-03-06,,0,52003000
payment_option_70,request_25,installments,3813553.33,15,2024-03-09,30,5200299.95,57203299.95
payment_option_71,request_25,installments,2643485.83,24,2024-03-20,28,11440659.92,63443659.92
payment_option_72,request_26,full_payment,22420000,1,2025-08-03,,0,22420000
payment_option_73,request_26,installments,1644133.33,15,2025-08-06,30,2241999.95,24661999.95
payment_option_74,request_26,installments,1139683.33,24,2025-08-17,28,4932399.92,27352399.92
payment_option_75,request_27,full_payment,127800,1,2026-07-05,,0,127800
payment_option_76,request_27,installments,8094,18,2026-07-12,31,17892,145692
payment_option_77,request_28,full_payment,11324000,1,2024-06-07,,0,11324000
payment_option_78,request_28,installments,636300.95,21,2024-06-21,28,2038319.95,13362319.95
payment_option_79,request_28,installments,575636.67,24,2024-06-10,31,2491280.08,13815280.08
payment_option_80,request_29,full_payment,1917.3,1,2025-11-04,,0,1917.3
payment_option_81,request_29,installments,140.6,15,2025-11-04,30,191.7,2109
payment_option_82,request_30,installments,666.57,3,2026-04-06,30,76.91,1999.71
payment_option_83,request_30,full_payment,1922.8,1,2026-04-06,,0,1922.8
payment_option_84,request_30,installments,121.78,18,2026-04-09,31,269.24,2192.04
payment_option_85,request_31,full_payment,495,1,2024-09-03,,0,495
payment_option_86,request_31,installments,27.81,21,2024-09-10,28,89.01,584.01
payment_option_87,request_31,installments,89.1,6,2024-09-17,30,39.6,534.6
payment_option_88,request_32,full_payment,210700,1,2025-02-05,,0,210700
payment_option_89,request_32,installments,15451.33,15,2025-02-19,30,21069.95,231769.95
payment_option_90,request_32,installments,10710.58,24,2025-02-08,28,46353.92,257053.92
payment_option_91,request_33,full_payment,2262.7,1,2026-01-07,,0,2262.7
payment_option_92,request_33,installments,143.3,18,2026-01-07,31,316.7,2579.4
payment_option_93,request_34,full_payment,1379.4,1,2024-12-04,,0,1379.4
payment_option_94,request_34,installments,77.51,21,2024-12-07,28,248.31,1627.71
payment_option_95,request_34,installments,248.29,6,2024-12-11,30,110.34,1489.74
payment_option_96,request_34,installments,70.12,24,2024-12-18,31,303.48,1682.88
payment_option_97,request_35,installments,57165.33,3,2025-05-09,28,6595.99,171495.99
payment_option_98,request_35,full_payment,164900,1,2025-05-06,,0,164900
payment_option_99,request_35,installments,12092.67,15,2025-05-13,30,16490.05,181390.05
payment_option_100,request_36,full_payment,61500,1,2026-07-03,,0,61500
payment_option_101,request_36,installments,3895,18,2026-07-17,31,8610,70110
payment_option_102,request_36,installments,3126.25,24,2026-07-06,30,13530,75030
payment_option_103,request_37,full_payment,4735.5,1,2024-03-05,,0,4735.5
payment_option_104,request_37,installments,266.09,21,2024-03-05,28,852.39,5587.89
payment_option_105,request_38,full_payment,1185.8,1,2025-08-07,,0,1185.8
payment_option_106,request_38,installments,86.96,15,2025-08-10,30,118.6,1304.4
payment_option_107,request_38,installments,60.28,24,2025-08-21,28,260.92,1446.72
payment_option_108,request_39,installments,430.56,3,2026-04-07,30,49.68,1291.68
payment_option_109,request_39,full_payment,1242,1,2026-04-04,,0,1242
payment_option_110,request_39,installments,78.66,18,2026-04-11,31,173.88,1415.88
payment_option_111,request_40,full_payment,298900,1,2024-06-06,,0,298900
payment_option_112,request_40,installments,16795.33,21,2024-06-20,28,53801.93,352701.93
payment_option_113,request_40,installments,15194.08,24,2024-06-09,31,65757.92,364657.92
payment_option_114,request_41,full_payment,150300,1,2025-11-03,,0,150300
payment_option_115,request_41,installments,11022,15,2025-11-03,30,15030,165330
payment_option_116,request_42,full_payment,1454.2,1,2026-01-05,,0,1454.2
payment_option_117,request_42,installments,92.1,18,2026-01-08,31,203.6,1657.8
payment_option_118,request_42,installments,73.92,24,2026-01-19,30,319.88,1774.08
payment_option_119,request_43,installments,78034.67,3,2024-09-10,31,9004.01,234104.01
payment_option_120,request_43,full_payment,225100,1,2024-09-07,,0,225100
payment_option_121,request_43,installments,12648.48,21,2024-09-14,28,40518.08,265618.08
payment_option_122,request_44,full_payment,17666,1,2025-02-04,,0,17666
payment_option_123,request_44,installments,1295.51,15,2025-02-18,30,1766.65,19432.65
payment_option_124,request_44,installments,898.02,24,2025-02-07,28,3886.48,21552.48
payment_option_125,request_45,full_payment,19722000,1,2026-07-06,,0,19722000
payment_option_126,request_45,installments,1249060,18,2026-07-06,31,2761080,22483080
payment_option_127,request_46,full_payment,58718,1,2024-12-03,,0,58718
payment_option_128,request_46,installments,3299.39,21,2024-12-06,28,10569.19,69287.19
payment_option_129,request_46,installments,2984.83,24,2024-12-17,31,12917.92,71635.92
payment_option_130,request_47,full_payment,477800,1,2025-05-05,,0,477800
payment_option_131,request_47,installments,35038.67,15,2025-05-12,30,47780.05,525580.05
payment_option_132,request_48,full_payment,1224.3,1,2026-04-07,,0,1224.3
payment_option_133,request_48,installments,77.54,18,2026-04-21,31,171.42,1395.72
payment_option_134,request_48,installments,220.37,6,2026-04-07,28,97.92,1322.22
payment_option_135,request_48,installments,62.24,24,2026-04-10,30,269.46,1493.76
payment_option_136,request_49,installments,31754.67,3,2024-03-18,31,3664.01,95264.01
payment_option_137,request_49,full_payment,91600,1,2024-03-04,,0,91600
payment_option_138,request_49,installments,5147.05,21,2024-03-04,28,16488.05,108088.05
payment_option_139,request_50,full_payment,18924000,1,2025-08-06,,0,18924000
payment_option_140,request_50,installments,1387760,15,2025-08-09,30,1892400,20816400
payment_option_141,request_50,installments,3406320,6,2025-08-13,31,1513920,20437920
payment_option_142,request_50,installments,961970,24,2025-08-20,28,4163280,23087280
payment_option_143,request_51,full_payment,125700,1,2026-01-03,,0,125700
payment_option_144,request_51,installments,7961,18,2026-01-10,31,17598,143298
payment_option_145,request_52,full_payment,2303.4,1,2024-06-05,,0,2303.4
payment_option_146,request_52,installments,129.43,21,2024-06-19,28,414.63,2718.03
payment_option_147,request_52,installments,117.09,24,2024-06-08,31,506.76,2810.16
payment_option_148,request_53,installments,397.73,3,2025-11-21,28,45.89,1193.19
payment_option_149,request_53,full_payment,1147.3,1,2025-11-07,,0,1147.3
payment_option_150,request_53,installments,84.14,15,2025-11-07,30,114.8,1262.1
payment_option_151,request_54,full_payment,57969000,1,2026-07-04,,0,57969000
payment_option_152,request_54,installments,3671370,18,2026-07-07,31,8115660,66084660
payment_option_153,request_54,installments,2946757.5,24,2026-07-18,30,12753180,70722180
payment_option_154,request_55,installments,13224.64,3,2024-09-09,31,1525.92,39673.92
payment_option_155,request_55,full_payment,38148,1,2024-09-06,,0,38148
payment_option_156,request_55,installments,2143.55,21,2024-09-13,28,6866.55,45014.55
payment_option_157,request_56,full_payment,88330,1,2025-02-03,,0,88330
payment_option_158,request_56,installments,6477.53,15,2025-02-17,30,8832.95,97162.95
payment_option_159,request_56,installments,4490.11,24,2025-02-06,28,19432.64,107762.64
payment_option_160,request_57,full_payment,14058,1,2026-04-05,,0,14058
payment_option_161,request_57,installments,890.34,18,2026-04-05,31,1968.12,16026.12
payment_option_162,request_58,full_payment,289.3,1,2024-12-07,,0,289.3
payment_option_163,request_58,installments,16.26,21,2024-12-10,28,52.16,341.46
payment_option_164,request_58,installments,52.07,6,2024-12-14,30,23.12,312.42
payment_option_165,request_58,installments,14.71,24,2024-12-21,31,63.74,353.04
payment_option_166,request_59,installments,300.35,3,2025-05-07,28,34.65,901.05
payment_option_167,request_59,full_payment,866.4,1,2025-05-04,,0,866.4
payment_option_168,request_59,installments,63.54,15,2025-05-11,30,86.7,953.1
payment_option_169,request_60,full_payment,36043000,1,2026-01-06,,0,36043000
payment_option_170,request_60,installments,2282723.33,18,2026-01-20,31,5046019.94,41089019.94
payment_option_171,request_60,installments,1832185.83,24,2026-01-09,30,7929459.92,43972459.92
payment_option_172,request_61,installments,10696746.67,3,2024-03-17,31,1234240.01,32090240.01
payment_option_173,request_61,full_payment,30856000,1,2024-03-03,,0,30856000
payment_option_174,request_61,installments,1733813.33,21,2024-03-03,28,5554079.93,36410079.93
payment_option_175,request_62,full_payment,5566.8,1,2025-08-05,,0,5566.8
payment_option_176,request_62,installments,408.23,15,2025-08-08,30,556.65,6123.45
payment_option_177,request_62,installments,282.98,24,2025-08-19,28,1224.72,6791.52
payment_option_178,request_63,full_payment,62491000,1,2026-07-07,,0,62491000
payment_option_179,request_63,installments,3957763.33,18,2026-07-14,31,8748739.94,71239739.94
payment_option_180,request_64,installments,8681226.67,3,2024-06-11,31,1001680.01,26043680.01
payment_option_181,request_64,full_payment,25042000,1,2024-06-04,,0,25042000
payment_option_182,request_64,installments,1407121.9,21,2024-06-18,28,4507559.9,29549559.9
payment_option_183,request_65,full_payment,2827,1,2025-11-06,,0,2827
payment_option_184,request_65,installments,207.31,15,2025-11-06,30,282.65,3109.65
payment_option_185,request_66,full_payment,50806000,1,2026-04-03,,0,50806000
payment_option_186,request_66,installments,3217713.33,18,2026-04-06,31,7112839.94,57918839.94
payment_option_187,request_66,installments,2582638.33,24,2026-04-17,30,11177319.92,61983319.92
payment_option_188,request_67,full_payment,34600,1,2024-09-05,,0,34600
payment_option_189,request_67,installments,1944.19,21,2024-09-12,28,6227.99,40827.99
payment_option_190,request_68,installments,687.65,3,2025-02-14,28,79.35,2062.95
payment_option_191,request_68,full_payment,1983.6,1,2025-02-07,,0,1983.6
payment_option_192,request_68,installments,145.46,15,2025-02-21,30,198.3,2181.9
payment_option_193,request_69,full_payment,990,1,2026-01-04,,0,990
payment_option_194,request_69,installments,62.7,18,2026-01-04,31,138.6,1128.6
payment_option_195,request_69,installments,178.2,6,2026-01-07,28,79.2,1069.2
payment_option_196,request_70,full_payment,2185.2,1,2024-12-06,,0,2185.2
payment_option_197,request_70,installments,122.79,21,2024-12-09,28,393.39,2578.59
payment_option_198,request_70,installments,111.08,24,2024-12-20,31,480.72,2665.92
payment_option_199,request_71,full_payment,78980,1,2025-05-03,,0,78980
payment_option_200,request_71,installments,5791.87,15,2025-05-10,30,7898.05,86878.05
payment_option_201,request_72,full_payment,576.4,1,2026-07-05,,0,576.4
payment_option_202,request_72,installments,36.51,18,2026-07-19,31,80.78,657.18
payment_option_203,request_72,installments,103.75,6,2026-07-05,28,46.1,622.5
payment_option_204,request_72,installments,29.3,24,2026-07-08,30,126.8,703.2
payment_option_205,request_73,full_payment,10374000,1,2024-03-07,,0,10374000
payment_option_206,request_73,installments,582920,21,2024-03-07,28,1867320,12241320
payment_option_207,request_73,installments,1867320,6,2024-03-10,30,829920,11203920
payment_option_208,request_74,full_payment,32927000,1,2025-08-04,,0,32927000
payment_option_209,request_74,installments,2414646.67,15,2025-08-07,30,3292700.05,36219700.05
payment_option_210,request_74,installments,1673789.17,24,2025-08-18,28,7243940.08,40170940.08
payment_option_211,request_75,full_payment,1180.8,1,2026-04-06,,0,1180.8
payment_option_212,request_75,installments,74.78,18,2026-04-13,31,165.24,1346.04
payment_option_213,request_76,full_payment,5592,1,2024-06-03,,0,5592
payment_option_214,request_76,installments,314.22,21,2024-06-17,28,1006.62,6598.62
payment_option_215,request_76,installments,284.26,24,2024-06-06,31,1230.24,6822.24
payment_option_216,request_77,full_payment,94700,1,2025-11-05,,0,94700
payment_option_217,request_77,installments,6944.67,15,2025-11-05,30,9470.05,104170.05
payment_option_218,request_77,installments,17046,6,2025-11-08,31,7576,102276
payment_option_219,request_78,full_payment,75500,1,2026-01-07,,0,75500
payment_option_220,request_78,installments,4781.67,18,2026-01-10,31,10570.06,86070.06
payment_option_221,request_78,installments,13590,6,2026-01-14,28,6040,81540
payment_option_222,request_78,installments,3837.92,24,2026-01-21,30,16610.08,92110.08
payment_option_223,request_79,full_payment,45695000,1,2024-09-04,,0,45695000
payment_option_224,request_79,installments,2567623.81,21,2024-09-11,28,8225100.01,53920100.01
payment_option_225,request_80,full_payment,117000,1,2025-02-06,,0,117000
payment_option_226,request_80,installments,8580,15,2025-02-20,30,11700,128700
payment_option_227,request_80,installments,5947.5,24,2025-02-09,28,25740,142740
payment_option_228,request_81,full_payment,1117.2,1,2026-07-03,,0,1117.2
payment_option_229,request_81,installments,70.76,18,2026-07-03,31,156.48,1273.68
payment_option_230,request_81,installments,201.1,6,2026-07-06,28,89.4,1206.6
payment_option_231,request_82,full_payment,2049.6,1,2024-12-05,,0,2049.6
payment_option_232,request_82,installments,115.17,21,2024-12-08,28,368.97,2418.57
payment_option_233,request_82,installments,104.19,24,2024-12-19,31,450.96,2500.56
payment_option_234,request_83,full_payment,65227000,1,2025-05-07,,0,65227000
payment_option_235,request_83,installments,4783313.33,15,2025-05-14,30,6522699.95,71749699.95
payment_option_236,request_84,full_payment,82900,1,2026-04-04,,0,82900
payment_option_237,request_84,installments,5250.33,18,2026-04-18,31,11605.94,94505.94
payment_option_238,request_84,installments,4214.08,24,2026-04-07,30,18237.92,101137.92
payment_option_239,request_85,full_payment,16093000,1,2024-03-06,,0,16093000
payment_option_240,request_85,installments,904273.33,21,2024-03-06,28,2896739.93,18989739.93
payment_option_241,request_86,full_payment,16456,1,2025-08-03,,0,16456
payment_option_242,request_86,installments,1206.77,15,2025-08-06,30,1645.55,18101.55
payment_option_243,request_86,installments,2962.08,6,2025-08-10,31,1316.48,17772.48
payment_option_244,request_86,installments,836.51,24,2025-08-17,28,3620.24,20076.24
payment_option_245,request_87,full_payment,1270.5,1,2026-01-05,,0,1270.5
payment_option_246,request_87,installments,80.46,18,2026-01-12,31,177.78,1448.28
payment_option_247,request_88,installments,37786.67,3,2024-06-14,31,4360.01,113360.01
payment_option_248,request_88,full_payment,109000,1,2024-06-07,,0,109000
payment_option_249,request_88,installments,6124.76,21,2024-06-21,28,19619.96,128619.96
payment_option_250,request_89,installments,5826.77,3,2025-11-18,28,672.31,17480.31
payment_option_251,request_89,full_payment,16808,1,2025-11-04,,0,16808
payment_option_252,request_89,installments,1232.59,15,2025-11-04,30,1680.85,18488.85
payment_option_253,request_90,full_payment,11343000,1,2026-07-06,,0,11343000
payment_option_254,request_90,installments,718390,18,2026-07-09,31,1588020,12931020
payment_option_255,request_90,installments,576602.5,24,2026-07-20,30,2495460,13838460
payment_option_256,request_91,full_payment,688.8,1,2024-09-03,,0,688.8
payment_option_257,request_91,installments,38.7,21,2024-09-10,28,123.9,812.7
payment_option_258,request_92,full_payment,115200,1,2025-02-05,,0,115200
payment_option_259,request_92,installments,8448,15,2025-02-19,30,11520,126720
payment_option_260,request_92,installments,20736,6,2025-02-05,31,9216,124416
payment_option_261,request_92,installments,5856,24,2025-02-08,28,25344,140544
payment_option_262,request_93,full_payment,1374,1,2026-04-07,,0,1374
payment_option_263,request_93,installments,87.02,18,2026-04-07,31,192.36,1566.36
payment_option_264,request_93,installments,247.32,6,2026-04-10,28,109.92,1483.92
payment_option_265,request_94,full_payment,78800,1,2024-12-04,,0,78800
payment_option_266,request_94,installments,4427.81,21,2024-12-07,28,14184.01,92984.01
payment_option_267,request_94,installments,14184,6,2024-12-11,30,6304,85104
payment_option_268,request_94,installments,4005.67,24,2024-12-18,31,17336.08,96136.08
payment_option_269,request_95,full_payment,4595.8,1,2025-05-06,,0,4595.8
payment_option_270,request_95,installments,337.03,15,2025-05-13,30,459.65,5055.45
payment_option_271,request_96,installments,35914.67,3,2026-01-10,30,4144.01,107744.01
payment_option_272,request_96,full_payment,103600,1,2026-01-03,,0,103600
payment_option_273,request_96,installments,6561.33,18,2026-01-17,31,14503.94,118103.94
payment_option_274,request_97,installments,283.3,3,2024-03-19,31,32.7,849.9
payment_option_275,request_97,full_payment,817.2,1,2024-03-05,,0,817.2
payment_option_276,request_97,installments,45.92,21,2024-03-05,28,147.12,964.32
payment_option_277,request_98,full_payment,1146.2,1,2025-08-07,,0,1146.2
payment_option_278,request_98,installments,84.05,15,2025-08-10,30,114.55,1260.75
payment_option_279,request_98,installments,58.26,24,2025-08-21,28,252.04,1398.24
payment_option_280,request_99,full_payment,708,1,2026-07-04,,0,708
payment_option_281,request_99,installments,44.84,18,2026-07-11,31,99.12,807.12
payment_option_282,request_99,installments,127.44,6,2026-07-18,28,56.64,764.64
payment_option_283,request_100,installments,4722640,3,2024-06-13,31,544920,14167920
payment_option_284,request_100,full_payment,13623000,1,2024-06-06,,0,13623000
payment_option_285,request_100,installments,765482.86,21,2024-06-20,28,2452140.06,16075140.06
payment_option_286,request_101,full_payment,68600,1,2025-11-03,,0,68600
payment_option_287,request_101,installments,5030.67,15,2025-11-03,30,6860.05,75460.05
payment_option_288,request_101,installments,12348,6,2025-11-06,31,5488,74088
payment_option_289,request_102,installments,92144,3,2026-04-05,30,10632,276432
payment_option_290,request_102,full_payment,265800,1,2026-04-05,,0,265800
payment_option_291,request_102,installments,16834,18,2026-04-08,31,37212,303012
payment_option_292,request_103,full_payment,1738.8,1,2024-09-07,,0,1738.8
payment_option_293,request_103,installments,97.7,21,2024-09-14,28,312.9,2051.7
payment_option_294,request_104,full_payment,25168,1,2025-02-04,,0,25168
payment_option_295,request_104,installments,1845.65,15,2025-02-18,30,2516.75,27684.75
payment_option_296,request_104,installments,1279.37,24,2025-02-07,28,5536.88,30704.88
payment_option_297,request_105,full_payment,21831000,1,2026-01-06,,0,21831000
payment_option_298,request_105,installments,1382630,18,2026-01-06,31,3056340,24887340
payment_option_299,request_105,installments,3929580,6,2026-01-09,28,1746480,23577480
payment_option_300,request_106,full_payment,12518,1,2024-12-03,,0,12518
payment_option_301,request_106,installments,703.39,21,2024-12-06,28,2253.19,14771.19
payment_option_302,request_106,installments,636.33,24,2024-12-17,31,2753.92,15271.92
payment_option_303,request_107,installments,6290266.67,3,2025-05-08,28,725800.01,18870800.01
payment_option_304,request_107,full_payment,18145000,1,2025-05-05,,0,18145000
payment_option_305,request_107,installments,1330633.33,15,2025-05-12,30,1814499.95,19959499.95
payment_option_306,request_108,full_payment,2052.6,1,2026-07-07,,0,2052.6
payment_option_307,request_108,installments,130,18,2026-07-21,31,287.4,2340
payment_option_308,request_108,installments,104.34,24,2026-07-10,30,451.56,2504.16
payment_option_309,request_109,installments,772.51,3,2024-03-18,31,89.13,2317.53
payment_option_310,request_109,full_payment,2228.4,1,2024-03-04,,0,2228.4
payment_option_311,request_109,installments,125.21,21,2024-03-04,28,401.01,2629.41
payment_option_312,request_110,full_payment,99000,1,2025-08-06,,0,99000
payment_option_313,request_110,installments,7260,15,2025-08-09,30,9900,108900
payment_option_314,request_110,installments,5032.5,24,2025-08-20,28,21780,120780
payment_option_315,request_111,full_payment,19008,1,2026-04-03,,0,19008
payment_option_316,request_111,installments,1203.84,18,2026-04-10,31,2661.12,21669.12
payment_option_317,request_111,installments,3421.44,6,2026-04-17,28,1520.64,20528.64
payment_option_318,request_112,full_payment,22135000,1,2024-06-05,,0,22135000
payment_option_319,request_112,installments,1243776.19,21,2024-06-19,28,3984299.99,26119299.99
payment_option_320,request_112,installments,3984300,6,2024-06-05,30,1770800,23905800
payment_option_321,request_112,installments,1125195.83,24,2024-06-08,31,4869699.92,27004699.92
payment_option_322,request_113,full_payment,4988.4,1,2025-11-07,,0,4988.4
payment_option_323,request_113,installments,365.82,15,2025-11-07,30,498.9,5487.3
payment_option_324,request_114,full_payment,482.9,1,2026-01-04,,0,482.9
payment_option_325,request_114,installments,30.58,18,2026-01-07,31,67.54,550.44
payment_option_326,request_114,installments,86.92,6,2026-01-11,28,38.62,521.52
payment_option_327,request_114,installments,24.55,24,2026-01-18,30,106.3,589.2
payment_option_328,request_115,full_payment,984.5,1,2024-09-06,,0,984.5
payment_option_329,request_115,installments,55.32,21,2024-09-13,28,177.22,1161.72
payment_option_330,request_116,full_payment,33022,1,2025-02-03,,0,33022
payment_option_331,request_116,installments,2421.61,15,2025-02-17,30,3302.15,36324.15
payment_option_332,request_116,installments,1678.62,24,2025-02-06,28,7264.88,40286.88
payment_option_333,request_117,full_payment,838.2,1,2026-07-05,,0,838.2
payment_option_334,request_117,installments,53.09,18,2026-07-05,31,117.42,955.62
payment_option_335,request_117,installments,150.88,6,2026-07-08,28,67.08,905.28
payment_option_336,request_118,installments,20576.75,3,2024-12-07,31,2374.25,61730.25
payment_option_337,request_118,full_payment,59356,1,2024-12-07,,0,59356
payment_option_338,request_118,installments,3335.24,21,2024-12-10,28,10684.04,70040.04
payment_option_339,request_119,installments,86736,3,2025-05-07,28,10008,260208
payment_option_340,request_119,full_payment,250200,1,2025-05-04,,0,250200
payment_option_341,request_119,installments,18348,15,2025-05-11,30,25020,275220
payment_option_342,request_120,full_payment,9291000,1,2026-04-06,,0,9291000
payment_option_343,request_120,installments,588430,18,2026-04-20,31,1300740,10591740
payment_option_344,request_120,installments,1672380,6,2026-04-06,28,743280,10034280
payment_option_345,request_120,installments,472292.5,24,2026-04-09,30,2044020,11335020
payment_option_346,request_121,full_payment,1367.3,1,2024-03-03,,0,1367.3
payment_option_347,request_121,installments,76.83,21,2024-03-03,28,246.13,1613.43
payment_option_348,request_121,installments,246.11,6,2024-03-06,30,109.36,1476.66
payment_option_349,request_122,installments,598.31,3,2025-08-05,28,69.03,1794.93
payment_option_350,request_122,full_payment,1725.9,1,2025-08-05,,0,1725.9
payment_option_351,request_122,installments,126.57,15,2025-08-08,30,172.65,1898.55
payment_option_352,request_123,full_payment,4048.8,1,2026-01-07,,0,4048.8
payment_option_353,request_123,installments,256.42,18,2026-01-14,31,566.76,4615.56
payment_option_354,request_124,installments,83546.67,3,2024-06-11,31,9640.01,250640.01
payment_option_355,request_124,full_payment,241000,1,2024-06-04,,0,241000
payment_option_356,request_124,installments,13541.9,21,2024-06-18,28,43379.9,284379.9
payment_option_357,request_125,full_payment,1046.4,1,2025-11-06,,0,1046.4
payment_option_358,request_125,installments,76.74,15,2025-11-06,30,104.7,1151.1
payment_option_359,request_125,installments,188.35,6,2025-11-09,31,83.7,1130.1
payment_option_360,request_126,full_payment,4040.3,1,2026-07-03,,0,4040.3
payment_option_361,request_126,installments,255.89,18,2026-07-06,31,565.72,4606.02
payment_option_362,request_126,installments,205.38,24,2026-07-17,30,888.82,4929.12
payment_option_363,request_127,full_payment,64284,1,2024-09-05,,0,64284
payment_option_364,request_127,installments,3612.15,21,2024-09-12,28,11571.15,75855.15
payment_option_365,request_128,full_payment,596.4,1,2025-02-07,,0,596.4
payment_option_366,request_128,installments,43.74,15,2025-02-21,30,59.7,656.1
payment_option_367,request_128,installments,107.35,6,2025-02-07,31,47.7,644.1
payment_option_368,request_128,installments,30.32,24,2025-02-10,28,131.28,727.68
payment_option_369,request_129,full_payment,69787000,1,2026-04-04,,0,69787000
payment_option_370,request_129,installments,4419843.33,18,2026-04-04,31,9770179.94,79557179.94
