event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount
event_26,user_01,subscription,Music subscription,music_subscription,debit,282.7,ZAR,2023-12-10,2023-12-10,settled,,fixed,
event_27,user_01,subscription,Cloud storage subscription,cloud_storage,debit,141.9,ZAR,2023-12-11,2023-12-11,settled,,fixed,
event_28,user_01,subscription,Delivery membership,delivery_membership,debit,254.1,ZAR,2023-12-12,2023-12-12,settled,,fixed,
event_29,user_01,expense,Discretionary shopping budget,shopping,debit,1159.4,ZAR,2023-12-11,2023-12-11,settled,,fixed,
event_30,user_01,expense,Entertainment budget,entertainment,debit,567.6,ZAR,2023-12-13,2023-12-13,settled,,fixed,
event_31,user_01,expense,Monthly rent,rent,debit,5148,ZAR,2024-01-01,2024-01-01,settled,,fixed,
event_32,user_01,expense,Utility bill,utilities,debit,1216.88,ZAR,2024-01-05,2024-01-05,settled,,fixed,
event_33,user_01,debt_payment,Loan repayment,debt_repayment,debit,3289,ZAR,2024-01-10,2024-01-10,settled,,fixed,
event_34,user_01,subscription,Streaming subscription,streaming,debit,651.2,ZAR,2024-01-08,2024-01-08,settled,,reducible,325.6
event_35,user_01,subscription,Fitness membership,gym,debit,459.8,ZAR,2024-01-09,2024-01-09,settled,,fixed,
event_36,user_01,subscription,Music subscription,music_subscription,debit,282.7,ZAR,2024-01-10,2024-01-10,settled,,fixed,
event_37,user_01,subscription,Cloud storage subscription,cloud_storage,debit,141.9,ZAR,2024-01-11,2024-01-11,settled,,fixed,
event_38,user_01,subscription,Delivery membership,delivery_membership,debit,254.1,ZAR,2024-01-12,2024-01-12,settled,,fixed,
event_39,user_01,expense,Discretionary shopping budget,shopping,debit,1159.4,ZAR,2024-01-11,2024-01-11,settled,,fixed,
event_40,user_01,expense,Entertainment budget,entertainment,debit,567.6,ZAR,2024-01-13,2024-01-13,settled,,fixed,
event_41,user_01,expense,Monthly rent,rent,debit,5148,ZAR,2024-02-01,2024-02-01,settled,,fixed,
event_42,user_01,expense,Utility bill,utilities,debit,1159.33,ZAR,2024-02-05,2024-02-05,settled,,fixed,
event_43,user_01,debt_payment,Loan repayment,debt_repayment,debit,3289,ZAR,2024-02-10,2024-02-10,settled,,fixed,
event_44,user_01,subscription,Streaming subscription,streaming,debit,651.2,ZAR,2024-02-08,2024-02-08,settled,,reducible,325.6
event_45,user_01,subscription,Fitness membership,gym,debit,459.8,ZAR,2024-02-09,2024-02-09,settled,,fixed,
event_46,user_01,subscription,Music subscription,music_subscription,debit,282.7,ZAR,2024-02-10,2024-02-10,settled,,fixed,
event_47,user_01,subscription,Cloud storage subscription,cloud_storage,debit,141.9,ZAR,2024-02-11,2024-02-11,settled,,fixed,
event_48,user_01,subscription,Delivery membership,delivery_membership,debit,254.1,ZAR,2024-02-12,2024-02-12,settled,,fixed,
event_49,user_01,expense,Discretionary shopping budget,shopping,debit,1159.4,ZAR,2024-02-11,2024-02-11,settled,,fixed,
event_50,user_01,expense,Entertainment budget,entertainment,debit,567.6,ZAR,2024-02-13,2024-02-13,settled,,fixed,
event_51,user_01,expense,Monthly rent,rent,debit,5148,ZAR,2024-03-01,2024-03-01,settled,,fixed,
event_52,user_01,expense,Grocery store,groceries,debit,1159.27,ZAR,2023-09-08,2023-09-08,settled,,fixed,
event_53,user_01,expense,Transit pass,transport,debit,502.57,ZAR,2023-09-09,2023-09-09,settled,,fixed,
event_54,user_01,expense,Neighborhood market,groceries,debit,1071.75,ZAR,2023-09-15,2023-09-15,settled,,fixed,
event_55,user_01,expense,Transit pass,transport,debit,480.83,ZAR,2023-09-16,2023-09-16,settled,,fixed,
event_56,user_01,expense,Food delivery,dining,debit,551.64,ZAR,2023-09-17,2023-09-17,settled,,reducible,316.8
event_57,user_01,expense,Supermarket purchase,groceries,debit,819.56,ZAR,2023-09-22,2023-09-22,settled,,fixed,
event_58,user_01,expense,Fuel,transport,debit,450.28,ZAR,2023-09-23,2023-09-23,settled,,fixed,
event_59,user_01,expense,Supermarket purchase,groceries,debit,1062.8,ZAR,2023-09-29,2023-09-29,settled,,fixed,
event_60,user_01,expense,Fuel,transport,debit,344.31,ZAR,2023-09-30,2023-09-30,settled,,fixed,
event_61,user_01,expense,Restaurant,dining,debit,521.49,ZAR,2023-10-01,2023-10-01,settled,,reducible,316.8
event_62,user_01,expense,Supermarket purchase,groceries,debit,1160.87,ZAR,2023-10-06,2023-10-06,settled,,fixed,
event_63,user_01,expense,Transit pass,transport,debit,357.31,ZAR,2023-10-07,2023-10-07,settled,,fixed,
event_64,user_01,expense,Supermarket purchase,groceries,debit,967.63,ZAR,2023-10-13,2023-10-13,settled,,fixed,
event_65,user_01,expense,Ride service,transport,debit,344.37,ZAR,2023-10-14,2023-10-14,settled,,fixed,
event_66,user_01,expense,Restaurant,dining,debit,671.4,ZAR,2023-10-15,2023-10-15,settled,,reducible,316.8
event_67,user_01,expense,Supermarket purchase,groceries,debit,796.46,ZAR,2023-10-20,2023-10-20,settled,,fixed,
event_68,user_01,expense,Fuel,transport,debit,400.5,ZAR,2023-10-21,2023-10-21,settled,,fixed,
event_69,user_01,expense,Grocery store,groceries,debit,837.61,ZAR,2023-10-27,2023-10-27,settled,,fixed,
event_70,user_01,expense,Fuel,transport,debit,462.27,ZAR,2023-10-28,2023-10-28,settled,,fixed,
event_71,user_01,expense,Cafe,dining,debit,725.42,ZAR,2023-10-29,2023-10-29,settled,,reducible,316.8
event_72,user_01,expense,Neighborhood market,groceries,debit,1028.87,ZAR,2023-11-03,2023-11-03,settled,,fixed,
event_73,user_01,expense,Fuel,transport,debit,396.21,ZAR,2023-11-04,2023-11-04,settled,,fixed,
event_74,user_01,expense,Neighborhood market,groceries,debit,815.28,ZAR,2023-11-10,2023-11-10,settled,,fixed,
event_75,user_01,expense,Fuel,transport,debit,379.13,ZAR,2023-11-11,2023-11-11,settled,,fixed,
event_76,user_01,expense,Cafe,dining,debit,584.3,ZAR,2023-11-12,2023-11-12,settled,,reducible,316.8
event_77,user_01,expense,Neighborhood market,groceries,debit,1033.88,ZAR,2023-11-17,2023-11-17,settled,,fixed,
event_78,user_01,expense,Ride service,transport,debit,335.84,ZAR,2023-11-18,2023-11-18,settled,,fixed,
event_79,user_01,expense,Supermarket purchase,groceries,debit,1104.53,ZAR,2023-11-24,2023-11-24,settled,,fixed,
event_80,user_01,expense,Ride service,transport,debit,389.89,ZAR,2023-11-25,2023-11-25,settled,,fixed,
event_81,user_01,expense,Cafe,dining,debit,767.77,ZAR,2023-11-26,2023-11-26,settled,,reducible,316.8
event_82,user_01,expense,Neighborhood market,groceries,debit,1026.02,ZAR,2023-12-01,2023-12-01,settled,,fixed,
event_83,user_01,expense,Fuel,transport,debit,415.66,ZAR,2023-12-02,2023-12-02,settled,,fixed,
event_84,user_01,expense,Neighborhood market,groceries,debit,874.52,ZAR,2023-12-08,2023-12-08,settled,,fixed,
event_85,user_01,expense,Transit pass,transport,debit,479.53,ZAR,2023-12-09,2023-12-09,settled,,fixed,
event_86,user_01,expense,Restaurant,dining,debit,515.33,ZAR,2023-12-10,2023-12-10,settled,,reducible,316.8
event_87,user_01,expense,Neighborhood market,groceries,debit,1161.39,ZAR,2023-12-15,2023-12-15,settled,,fixed,
event_88,user_01,expense,Fuel,transport,debit,409.6,ZAR,2023-12-16,2023-12-16,settled,,fixed,
event_89,user_01,expense,Neighborhood market,groceries,debit,834.53,ZAR,2023-12-22,2023-12-22,settled,,fixed,
event_90,user_01,expense,Ride service,transport,debit,492.47,ZAR,2023-12-23,2023-12-23,settled,,fixed,
event_91,user_01,expense,Cafe,dining,debit,633.81,ZAR,2023-12-24,2023-12-24,settled,,reducible,316.8
event_92,user_01,expense,Grocery store,groceries,debit,795.97,ZAR,2023-12-29,2023-12-29,settled,,fixed,
event_93,user_01,expense,Ride service,transport,debit,458.1,ZAR,2023-12-30,2023-12-30,settled,,fixed,
event_94,user_01,expense,Supermarket purchase,groceries,debit,1130.94,ZAR,2024-01-05,2024-01-05,settled,,fixed,
event_95,user_01,expense,Fuel,transport,debit,400.27,ZAR,2024-01-06,2024-01-06,settled,,fixed,
event_96,user_01,expense,Food delivery,dining,debit,544.75,ZAR,2024-01-07,2024-01-07,settled,,reducible,316.8
event_97,user_01,expense,Neighborhood market,groceries,debit,851.98,ZAR,2024-01-12,2024-01-12,settled,,fixed,
event_98,user_01,expense,Transit pass,transport,debit,420.63,ZAR,2024-01-13,2024-01-13,settled,,fixed,
event_99,user_01,expense,Grocery store,groceries,debit,878.78,ZAR,2024-01-19,2024-01-19,settled,,fixed,
event_100,user_01,expense,Ride service,transport,debit,528.81,ZAR,2024-01-20,2024-01-20,settled,,fixed,
event_101,user_01,expense,Cafe,dining,debit,585.4,ZAR,2024-01-21,2024-01-21,settled,,reducible,316.8
event_102,user_01,expense,Grocery store,groceries,debit,1057.6,ZAR,2024-01-26,2024-01-26,settled,,fixed,
event_103,user_01,expense,Transit pass,transport,debit,411.9,ZAR,2024-01-27,2024-01-27,settled,,fixed,
event_104,user_01,expense,Supermarket purchase,groceries,debit,1153.95,ZAR,2024-02-02,2024-02-02,settled,,fixed,
event_105,user_01,expense,Ride service,transport,debit,338.41,ZAR,2024-02-03,2024-02-03,settled,,fixed,
event_106,user_01,expense,Food delivery,dining,debit,769.27,ZAR,2024-02-04,2024-02-04,settled,,reducible,316.8
event_107,user_01,expense,Supermarket purchase,groceries,debit,1178.47,ZAR,2024-02-09,2024-02-09,settled,,fixed,
event_108,user_01,expense,Transit pass,transport,debit,487.43,ZAR,2024-02-10,2024-02-10,settled,,fixed,
event_109,user_01,expense,Supermarket purchase,groceries,debit,1022.44,ZAR,2024-02-16,2024-02-16,settled,,fixed,
event_110,user_01,expense,Ride service,transport,debit,464.67,ZAR,2024-02-17,2024-02-17,settled,,fixed,
event_111,user_01,expense,Cafe,dining,debit,620.71,ZAR,2024-02-18,2024-02-18,settled,,reducible,316.8
event_112,user_01,expense,Supermarket purchase,groceries,debit,1118.55,ZAR,2024-02-23,2024-02-23,settled,,fixed,
event_113,user_01,expense,Fuel,transport,debit,426.6,ZAR,2024-02-24,2024-02-24,settled,,fixed,
event_114,user_01,expense,Neighborhood market,groceries,debit,941.41,ZAR,2024-03-01,2024-03-01,settled,,fixed,
event_115,user_01,expense,Fuel,transport,debit,443.91,ZAR,2024-03-02,2024-03-02,settled,,fixed,
event_116,user_01,expense,Food delivery,dining,debit,774.3,ZAR,2024-03-03,2024-03-03,settled,,reducible,316.8
event_117,user_01,expense,Card charge later reversed,shopping,debit,583,ZAR,2024-01-25,2024-01-26,settled,,fixed,
event_118,user_01,refund,Settled card charge reversal,shopping,credit,583,ZAR,2024-01-28,2024-01-29,settled,event_117,fixed,
event_119,user_01,expense,Card authorization,shopping,debit,816.2,ZAR,2024-02-14,2024-02-16,cancelled,,fixed,
event_120,user_01,expense,Settled card purchase,shopping,debit,816.2,ZAR,2024-02-16,2024-02-17,settled,event_119,fixed,
event_121,user_01,expense,Pending fuel authorization,transport,debit,1489.4,ZAR,2024-03-02,2024-03-05,pending,,fixed,
event_122,user_01,income,Next confirmed salary,salary,credit,23320,ZAR,2024-03-15,2024-03-15,scheduled,,fixed,
event_123,user_02,income,Payroll credit,salary,credit,35006.4,ZAR,2025-03-15,2025-03-15,settled,,fixed,
event_124,user_02,expense,Monthly rent,rent,debit,10142,ZAR,2025-03-01,2025-03-01,settled,,fixed,
event_125,user_02,expense,Utility bill,utilities,debit,2514.23,ZAR,2025-03-05,2025-03-05,settled,,fixed,
event_126,user_02,debt_payment,Loan repayment,debt_repayment,debit,6699,ZAR,2025-03-10,2025-03-10,settled,,fixed,
event_127,user_02,subscription,Streaming subscription,streaming,debit,899.8,ZAR,2025-03-08,2025-03-08,settled,,reducible,449.9
event_128,user_02,subscription,Fitness membership,gym,debit,979,ZAR,2025-03-09,2025-03-09,settled,,fixed,
event_129,user_02,subscription,Music subscription,music_subscription,debit,272.8,ZAR,2025-03-10,2025-03-10,settled,,fixed,
event_130,user_02,subscription,Cloud storage subscription,cloud_storage,debit,345.4,ZAR,2025-03-11,2025-03-11,settled,,fixed,
event_131,user_02,subscription,Delivery membership,delivery_membership,debit,360.8,ZAR,2025-03-12,2025-03-12,settled,,fixed,
event_132,user_02,expense,Discretionary shopping budget,shopping,debit,2303.4,ZAR,2025-03-11,2025-03-11,settled,,fixed,
event_133,user_02,expense,Entertainment budget,entertainment,debit,1687.4,ZAR,2025-03-13,2025-03-13,settled,,fixed,
event_134,user_02,income,Payroll credit,salary,credit,35006.4,ZAR,2025-04-15,2025-04-15,settled,,fixed,
event_135,user_02,expense,Monthly rent,rent,debit,10142,ZAR,2025-04-01,2025-04-01,settled,,fixed,
event_136,user_02,expense,Utility bill,utilities,debit,2588.66,ZAR,2025-04-05,2025-04-05,settled,,fixed,
event_137,user_02,debt_payment,Loan repayment,debt_repayment,debit,6699,ZAR,2025-04-10,2025-04-10,settled,,fixed,
event_138,user_02,subscription,Streaming subscription,streaming,debit,899.8,ZAR,2025-04-08,2025-04-08,settled,,reducible,449.9
event_139,user_02,subscription,Fitness membership,gym,debit,979,ZAR,2025-04-09,2025-04-09,settled,,fixed,
event_140,user_02,subscription,Music subscription,music_subscription,debit,272.8,ZAR,2025-04-10,2025-04-10,settled,,fixed,
event_141,user_02,subscription,Cloud storage subscription,cloud_storage,debit,345.4,ZAR,2025-04-11,2025-04-11,settled,,fixed,
event_142,user_02,subscription,Delivery membership,delivery_membership,debit,360.8,ZAR,2025-04-12,2025-04-12,settled,,fixed,
event_143,user_02,expense,Discretionary shopping budget,shopping,debit,2303.4,ZAR,2025-04-11,2025-04-11,settled,,fixed,
event_144,user_02,expense,Entertainment budget,entertainment,debit,1687.4,ZAR,2025-04-13,2025-04-13,settled,,fixed,
event_145,user_02,income,Payroll credit,salary,credit,35006.4,ZAR,2025-05-15,2025-05-15,settled,,fixed,
event_146,user_02,expense,Monthly rent,rent,debit,10142,ZAR,2025-05-01,2025-05-01,settled,,fixed,
event_147,user_02,expense,Utility bill,utilities,debit,2483.69,ZAR,2025-05-05,2025-05-05,settled,,fixed,
event_148,user_02,debt_payment,Loan repayment,debt_repayment,debit,6699,ZAR,2025-05-10,2025-05-10,settled,,fixed,
event_149,user_02,subscription,Streaming subscription,streaming,debit,899.8,ZAR,2025-05-08,2025-05-08,settled,,reducible,449.9
event_150,user_02,subscription,Fitness membership,gym,debit,979,ZAR,2025-05-09,2025-05-09,settled,,fixed,
event_151,user_02,subscription,Music subscription,music_subscription,debit,272.8,ZAR,2025-05-10,2025-05-10,settled,,fixed,
event_152,user_02,subscription,Cloud storage subscription,cloud_storage,debit,345.4,ZAR,2025-05-11,2025-05-11,settled,,fixed,
event_153,user_02,subscription,Delivery membership,delivery_membership,debit,360.8,ZAR,2025-05-12,2025-05-12,settled,,fixed,
event_154,user_02,expense,Discretionary shopping budget,shopping,debit,2303.4,ZAR,2025-05-11,2025-05-11,settled,,fixed,
event_155,user_02,expense,Entertainment budget,entertainment,debit,1687.4,ZAR,2025-05-13,2025-05-13,settled,,fixed,
event_156,user_02,income,Payroll credit,salary,credit,35006.4,ZAR,2025-06-15,2025-06-15,settled,,fixed,
event_157,user_02,expense,Monthly rent,rent,debit,10142,ZAR,2025-06-01,2025-06-01,settled,,fixed,
event_158,user_02,expense,Utility bill,utilities,debit,2499.8,ZAR,2025-06-05,2025-06-05,settled,,fixed,
event_159,user_02,debt_payment,Loan repayment,debt_repayment,debit,6699,ZAR,2025-06-10,2025-06-10,settled,,fixed,
event_160,user_02,subscription,Streaming subscription,streaming,debit,899.8,ZAR,2025-06-08,2025-06-08,settled,,reducible,449.9
event_161,user_02,subscription,Fitness membership,gym,debit,979,ZAR,2025-06-09,2025-06-09,settled,,fixed,
event_162,user_02,subscription,Music subscription,music_subscription,debit,272.8,ZAR,2025-06-10,2025-06-10,settled,,fixed,
event_163,user_02,subscription,Cloud storage subscription,cloud_storage,debit,345.4,ZAR,2025-06-11,2025-06-11,settled,,fixed,
event_164,user_02,subscription,Delivery membership,delivery_membership,debit,360.8,ZAR,2025-06-12,2025-06-12,settled,,fixed,
event_165,user_02,expense,Discretionary shopping budget,shopping,debit,2303.4,ZAR,2025-06-11,2025-06-11,settled,,fixed,
event_166,user_02,expense,Entertainment budget,entertainment,debit,1687.4,ZAR,2025-06-13,2025-06-13,settled,,fixed,
event_167,user_02,income,Payroll credit,salary,credit,35006.4,ZAR,2025-07-15,2025-07-15,settled,,fixed,
event_168,user_02,expense,Monthly rent,rent,debit,10142,ZAR,2025-07-01,2025-07-01,settled,,fixed,
event_169,user_02,expense,Utility bill,utilities,debit,2435.38,ZAR,2025-07-05,2025-07-05,settled,,fixed,
event_170,user_02,debt_payment,Loan repayment,debt_repayment,debit,6699,ZAR,2025-07-10,2025-07-10,settled,,fixed,
event_171,user_02,subscription,Streaming subscription,streaming,debit,899.8,ZAR,2025-07-08,2025-07-08,settled,,reducible,449.9
event_172,user_02,subscription,Fitness membership,gym,debit,979,ZAR,2025-07-09,2025-07-09,settled,,fixed,
event_173,user_02,subscription,Music subscription,music_subscription,debit,272.8,ZAR,2025-07-10,2025-07-10,settled,,fixed,
event_174,user_02,subscription,Cloud storage subscription,cloud_storage,debit,345.4,ZAR,2025-07-11,2025-07-11,settled,,fixed,
event_175,user_02,subscription,Delivery membership,delivery_membership,debit,360.8,ZAR,2025-07-12,2025-07-12,settled,,fixed,
event_176,user_02,expense,Discretionary shopping budget,shopping,debit,2303.4,ZAR,2025-07-11,2025-07-11,settled,,fixed,
event_177,user_02,expense,Entertainment budget,entertainment,debit,1687.4,ZAR,2025-07-13,2025-07-13,settled,,fixed,
event_178,user_02,expense,Monthly rent,rent,debit,10142,ZAR,2025-08-01,2025-08-01,settled,,fixed,
event_179,user_02,expense,Neighborhood market,groceries,debit,1925.09,ZAR,2025-02-09,2025-02-09,settled,,fixed,
event_180,user_02,expense,Ride service,transport,debit,1293.73,ZAR,2025-02-10,2025-02-10,settled,,fixed,
event_181,user_02,expense,Grocery store,groceries,debit,1967.66,ZAR,2025-02-16,2025-02-16,settled,,fixed,
event_182,user_02,expense,Fuel,transport,debit,1218.35,ZAR,2025-02-17,2025-02-17,settled,,fixed,
event_183,user_02,expense,Cafe,dining,debit,1789.48,ZAR,2025-02-18,2025-02-18,settled,,fixed,
event_184,user_02,expense,Neighborhood market,groceries,debit,1816.86,ZAR,2025-02-23,2025-02-23,settled,,fixed,
event_185,user_02,expense,Ride service,transport,debit,901.92,ZAR,2025-02-24,2025-02-24,settled,,fixed,
event_186,user_02,expense,Supermarket purchase,groceries,debit,1790.42,ZAR,2025-03-02,2025-03-02,settled,,fixed,
event_187,user_02,expense,Fuel,transport,debit,1187.04,ZAR,2025-03-03,2025-03-03,settled,,fixed,
event_188,user_02,expense,Cafe,dining,debit,1927.36,ZAR,2025-03-04,2025-03-04,settled,,fixed,
event_189,user_02,expense,Supermarket purchase,groceries,debit,2080.95,ZAR,2025-03-09,2025-03-09,settled,,fixed,
event_190,user_02,expense,Ride service,transport,debit,1014.31,ZAR,2025-03-10,2025-03-10,settled,,fixed,
event_191,user_02,expense,Neighborhood market,groceries,debit,1405.41,ZAR,2025-03-16,2025-03-16,settled,,fixed,
event_192,user_02,expense,Transit pass,transport,debit,900.97,ZAR,2025-03-17,2025-03-17,settled,,fixed,
event_193,user_02,expense,Restaurant,dining,debit,1930.69,ZAR,2025-03-18,2025-03-18,settled,,fixed,
event_194,user_02,expense,Grocery store,groceries,debit,1540.57,ZAR,2025-03-23,2025-03-23,settled,,fixed,
event_195,user_02,expense,Ride service,transport,debit,1012.6,ZAR,2025-03-24,2025-03-24,settled,,fixed,
event_196,user_02,expense,Grocery store,groceries,debit,1443.78,ZAR,2025-03-30,2025-03-30,settled,,fixed,
event_197,user_02,expense,Fuel,transport,debit,1293.87,ZAR,2025-03-31,2025-03-31,settled,,fixed,
event_198,user_02,expense,Cafe,dining,debit,1870.22,ZAR,2025-04-01,2025-04-01,settled,,fixed,
event_199,user_02,expense,Neighborhood market,groceries,debit,1795.6,ZAR,2025-04-06,2025-04-06,settled,,fixed,
event_200,user_02,expense,Fuel,transport,debit,984.45,ZAR,2025-04-07,2025-04-07,settled,,fixed,
event_201,user_02,expense,Neighborhood market,groceries,debit,1877.11,ZAR,2025-04-13,2025-04-13,settled,,fixed,
event_202,user_02,expense,Ride service,transport,debit,1309.89,ZAR,2025-04-14,2025-04-14,settled,,fixed,
event_203,user_02,expense,Restaurant,dining,debit,2072.99,ZAR,2025-04-15,2025-04-15,settled,,fixed,
event_204,user_02,expense,Supermarket purchase,groceries,debit,1915.37,ZAR,2025-04-20,2025-04-20,settled,,fixed,
event_205,user_02,expense,Fuel,transport,debit,1386.31,ZAR,2025-04-21,2025-04-21,settled,,fixed,
event_206,user_02,expense,Neighborhood market,groceries,debit,1721.15,ZAR,2025-04-27,2025-04-27,settled,,fixed,
event_207,user_02,expense,Transit pass,transport,debit,1388.23,ZAR,2025-04-28,2025-04-28,settled,,fixed,
event_208,user_02,expense,Restaurant,dining,debit,1749.66,ZAR,2025-04-29,2025-04-29,settled,,fixed,
event_209,user_02,expense,Neighborhood market,groceries,debit,1669.78,ZAR,2025-05-04,2025-05-04,settled,,fixed,
event_210,user_02,expense,Transit pass,transport,debit,1093.95,ZAR,2025-05-05,2025-05-05,settled,,fixed,
event_211,user_02,expense,Neighborhood market,groceries,debit,1925.15,ZAR,2025-05-11,2025-05-11,settled,,fixed,
event_212,user_02,expense,Transit pass,transport,debit,1450.04,ZAR,2025-05-12,2025-05-12,settled,,fixed,
event_213,user_02,expense,Food delivery,dining,debit,1789.72,ZAR,2025-05-13,2025-05-13,settled,,fixed,
event_214,user_02,expense,Supermarket purchase,groceries,debit,2014.03,ZAR,2025-05-18,2025-05-18,settled,,fixed,
event_215,user_02,expense,Ride service,transport,debit,1348.04,ZAR,2025-05-19,2025-05-19,settled,,fixed,
event_216,user_02,expense,Supermarket purchase,groceries,debit,1942.11,ZAR,2025-05-25,2025-05-25,settled,,fixed,
event_217,user_02,expense,Fuel,transport,debit,1147.55,ZAR,2025-05-26,2025-05-26,settled,,fixed,
event_218,user_02,expense,Food delivery,dining,debit,2263.06,ZAR,2025-05-27,2025-05-27,settled,,fixed,
event_219,user_02,expense,Neighborhood market,groceries,debit,1669.85,ZAR,2025-06-01,2025-06-01,settled,,fixed,
event_220,user_02,expense,Ride service,transport,debit,1100.56,ZAR,2025-06-02,2025-06-02,settled,,fixed,
event_221,user_02,expense,Grocery store,groceries,debit,1602.63,ZAR,2025-06-08,2025-06-08,settled,,fixed,
event_222,user_02,expense,Fuel,transport,debit,907.71,ZAR,2025-06-09,2025-06-09,settled,,fixed,
event_223,user_02,expense,Food delivery,dining,debit,1996.12,ZAR,2025-06-10,2025-06-10,settled,,fixed,
event_224,user_02,expense,Supermarket purchase,groceries,debit,1472.02,ZAR,2025-06-15,2025-06-15,settled,,fixed,
event_225,user_02,expense,Transit pass,transport,debit,1054.37,ZAR,2025-06-16,2025-06-16,settled,,fixed,
event_226,user_02,expense,Supermarket purchase,groceries,debit,1448.73,ZAR,2025-06-22,2025-06-22,settled,,fixed,
event_227,user_02,expense,Fuel,transport,debit,997.84,ZAR,2025-06-23,2025-06-23,settled,,fixed,
event_228,user_02,expense,Food delivery,dining,debit,1903.04,ZAR,2025-06-24,2025-06-24,settled,,fixed,
event_229,user_02,expense,Grocery store,groceries,debit,1861.84,ZAR,2025-06-29,2025-06-29,settled,,fixed,
event_230,user_02,expense,Ride service,transport,debit,942.89,ZAR,2025-06-30,2025-06-30,settled,,fixed,
event_231,user_02,expense,Grocery store,groceries,debit,1987.75,ZAR,2025-07-06,2025-07-06,settled,,fixed,
event_232,user_02,expense,Transit pass,transport,debit,1178.98,ZAR,2025-07-07,2025-07-07,settled,,fixed,
event_233,user_02,expense,Restaurant,dining,debit,1587.16,ZAR,2025-07-08,2025-07-08,settled,,fixed,
event_234,user_02,expense,Grocery store,groceries,debit,1640.52,ZAR,2025-07-13,2025-07-13,settled,,fixed,
event_235,user_02,expense,Ride service,transport,debit,979.11,ZAR,2025-07-14,2025-07-14,settled,,fixed,
event_236,user_02,expense,Supermarket purchase,groceries,debit,1645.83,ZAR,2025-07-20,2025-07-20,settled,,fixed,
event_237,user_02,expense,Transit pass,transport,debit,1046.79,ZAR,2025-07-21,2025-07-21,settled,,fixed,
event_238,user_02,expense,Food delivery,dining,debit,2188.95,ZAR,2025-07-22,2025-07-22,settled,,fixed,
event_239,user_02,expense,Grocery store,groceries,debit,1709.64,ZAR,2025-07-27,2025-07-27,settled,,fixed,
